Captain_America:Civil_War	0	190429000	25200229	16557300	41420350	40802843
Rogue_One:A_Star_Wars_Story	0	69484899	37481197	11409243	11409999	14588970
Finding_Dory	0	38052302	36312640	9222835	24781954	34529711
Zootopia	0	235591257	21369695	39153348	17050000	10675203
The_Jungle_Book	0	150140000	22694801	20359530	24351449	10886275
The_Secret_Life_of_Pets	0	58307653	22428963	33241623	22590000	19065814
Batman_v_Superman:Dawn_of_Justice	0	95769365	22517365	12683409	36200000	36700000
Fantastic_Beasts_and_Where_to_Find_Them	0	85963412	24200000	24748838	14400000	19500000
Deadpool	0	0	33314499	26002884	18653169	20625097
Suicide_Squad	0	0	26126519	25626359	27600000	36600000
Star_Wars_Ep._VII:The_Force_Awakens	0	124159138	67326713	25952440	27191173	27811701
Jurassic_World	0	228740000	38978832	23420356	42105404	29077565
Furious7	0	390910000	33888567	34016389	51682039	46606286
Avengers:Age_of_Ultron	0	240110000	30969152	34319424	50940433	47862465
Minions	0	68490000	23451902	30015860	43910109	37452980
Spectre	0	83509789	25373937	11584933	11604067	8266418
Inside_Out	0	15314000	23400000	16710083	31100000	13938297
Mission:Impossible_Rogue_Nation	0	135653541	11288400	9940870	12053845	9879051
The_Martian	0	94932731	19601155	17706103	7759156	7513748
The_Hunger_Games:Mockingjay_Part2	0	21525450	21422262	10161646	20156285	16890579
Transformers:Age_of_Extinction	151994	320000000	24862352	45200121	33534598	27491390
The_Hobbit:The_Battle_of_the_Five_Armies	0	121720000	27021677	23962118	0	0
Guardians_of_the_Galaxy	116524	96470000	23291983	37480983	19648542	16820519
The_Hunger_Games:Mockingjay_Part1	0	36512218	29791881	15216903	23729251	22463783
Maleficent	130086	47720000	15382553	37779753	46172590	33251828
X-Men:Days_of_Future_Past	382720	116490000	21121336	22554389	24581963	28779414
Captain_America:The_Winter_Soldier	69744	115620000	18390356	14948380	25720282	28319218
The_Amazing_Spider-Man2	381935	94430000	14859113	20871833	28460534	24871027
Dawn_of_the_Planet_of_the_Apes	90801	107355317	17074003	20640785	24579285	24303514
Interstellar	29198	121990000	16971232	19005801	5787355	5059875
Frozen	167333	48240000	26700870	33436103	25732202	0
Iron_Man3	0	121200000	36164486	44220462	48566365	47874596
Despicable_Me2	39649	52980000	32712318	35110025	47702364	35538035
The_Hobbit:The_Desolation_of_Smaug	0	74730000	34565817	45032050	18394490	17821725
The_Hunger_Games:Catching_Fire	194450	27920000	34280264	23244105	25157484	17291146
Fast_and_Furious6	187041	66490000	24693368	34267107	35860202	23027484
Monsters_University	0	33720000	21747029	20647071	37608021	16549029
Gravity	18411	70680000	19580599	21606484	17759503	8823348
Man_of_Steel	0	63440000	22342258	10424135	21127388	16006429
Thor:The_Dark_World	164215	55340000	20494942	35732140	23857540	27751884
The_Avengers	202368	0	54385465	43677418	61748523	63904807
Skyfall	520651	0	49976352	25243991	9927335	14631082
The_Dark_Knight_Rises	367180	0	44179096	17480637	31845456	27097031
The_Hobbit:_An_Unexpected_Journey	305092	49730000	43972634	43849722	19184330	18123942
Ice_Age:Continental_Drift	91531	0	28621749	50078212	46845581	44502217
The_Twilight_Saga:Breaking_Dawn_Part2	128418	0	29891454	42816364	29577943	54249028
The_Amazing_Spider-Man	313653	0	17924071	21912133	28742331	30368653
Madagascar3:Europe's_Most_Wanted	42738	0	25567458	49354065	25949927	28562135
The_Hunger_Games	65739	0	32624716	13405279	13913267	10152708
Men_in_Black3	211598	0	17740460	0	16054707	16225163
Harry_Potter_and_the_Deathly_Hallows:PartII	0	0	51328689	36817713	34163720	35699352
Transformers:Dark_of_the_Moon	94061	0	38820321	45129718	30502854	22312673
Pirates_of_the_Caribbean:On_Stranger_Tides	0	0	29006640	63661754	28992018	30396681
Mission:Impossible—Ghost_Protocol	107054	0	18954599	12394257	12997636	12721841
The_Twilight_Saga:Breaking_Dawn_Part1	0	0	29109682	31818662	18856968	32709793
Kung_Fu_Panda2	0	0	20219645	31829945	24391091	19684571
Fast_Five	122971	0	26794607	29333777	25942449	16679130
The_Hangover_PartII	0	0	35371018	13262502	12205269	16889520
The_Smurfs	100482	0	21457938	13347700	21069657	32849410
Cars2	0	0	20811602	19915542	25508290	16599764
Toy_Story3	0	0	37957715	6641512	59382044	23613926
Alice_in_Wonderland	38106	0	33234316	42114337	31347734	28360362
Harry_Potter_and_the_Deathly_Hallows:PartI	62336	0	41350865	26306807	22839997	23910192
Inception	106682	0	36515403	21691531	8919495	10315556
Shrek_Forever_After	0	0	24485148	51362770	28384310	40037374
The_Twilight_Saga:Eclipse	47663	0	28566737	26363413	20600163	30499010
Iron_Man2	59572	0	22418342	14762084	18396680	15835025
Tangled	19890	0	22555927	23380205	14131811	24341705
Despicable_Me	0	0	21817532	11143555	19789795	13743913
How_to_Train_Your_Dragon	32008	0	16883185	23460585	14362388	11483006
Avatar	132847	0	105779507	117103251	44229043	58218829
Harry_Potter_and_the_Half-Blood_Prince	80408	0	34954004	18687856	21185512	20240271
Ice_Age:Dawn_of_the_Dinosaurs	47524	0	24725499	44572301	39389248	45373371
Transformers:Revenge_of_the_Fallen	62048	65837290	33554033	18170854	18895683	9560181
2012	175910	68670540	18123801	36608694	19423924	25652732
Up	34845	0	25296200	12073559	14173033	10528510
The_Twilight_Saga:New_Moon	65689	0	35164930	18616430	18808309	30613742
Sherlock_Holmes	79464	0	22777578	16494393	0	0
Angels&Demons	157911	0	14065391	13597356	13379208	13858975
The_Hangover	77103	0	17934378	5220629	7191582	8911937
The_Dark_Knight	50134	0	39880001	8589052	24966893	20156555
Indiana_Jones_and_the_Kingdom_of_the_Crystal_Skull	41357	0	27981873	16876135	11527839	13291372
Kung_Fu_Panda	40511	26024298	24764811	20579860	22002301	16379155
Hancock	187303	15093944	19636856	26059966	14177721	13628864
Mamma_Mia!	20036	0	29287446	9154262	3133862	3581745
Madagascar:Escape_2_Africa	13566	0	15093421	40665152	16865859	16949456
Quantum_of_Solace	283462	21009412	20645336	18054093	6049052	7483199
Iron_Man	49724	15274332	18880106	9386135	19728577	14111441
WALL-E	7971	0	14165390	11694482	17679805	6304500
The_Chronicles_of_Narnia:Prince_Caspian	22088	0	13181570	14770821	19278912	7488057
Pirates_of_the_Caribbean:At_World’s_End	0	16970000	29085288	30850884	24332139	0
Harry_Potter_and_the_Order_of_the_Phoenix	0	19410000	29409933	16326219	24736826	0
Spider-Man3	0	18924747	19667403	13884488	36846766	0
Shrek_the_Third	0	982214	28594698	23049938	24122638	0
Transformers	0	37218823	23929895	15138081	17976243	0
Ratatouille	0	2871850	13240587	10146232	16103100	0
I_am_Legend	0	0	0	0	0	0
The_Simpsons_Movie	0	0	26654369	7655636	15295868	0
National_Treasure2:Book_of_Secrets	0	0	11790412	13627491	10601378	0
300	269928	0	12304031	10040438	10101034	0
